number,state,title,author,body,created_at,updated_at,merged_at,merged,comments,review_comments,commits,additions,deletions,changed_files,conversation,closed_at,title_length,body_length,has_test,has_bug,has_feature,has_document,has_improve,has_refactor,files_updated,comment_num,comment_length,total_changes,total_additions_commit,total_deletions_commit,commit_authors_count,commit_count,unique_reviewers,total_comments,first_comment_time,project
14071,closed,Fix an invalid phpDocumentor annotation,Kolyunya,"Fixed an invalid phpDocumentor annotation of `yii\data\DataProviderInterface::getPagination()`._x000D_
_x000D_
| Q             | A_x000D_
| ------------- | ---_x000D_
| Is bugfix?    | yes_x000D_
| New feature?  | no_x000D_
| Breaks BC?    | no_x000D_
| Tests pass?   | yes_x000D_
| Fixed issues  | _x000D_
",2017-04-27 14:47:08+00:00,2017-04-27T16:35:33Z,2017-04-27T16:26:01Z,True,2,0,1,1,1,1,2,2017-04-27 16:26:01+00:00,39.0,307,False,False,False,False,False,False,1,2,22,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2017-04-27T16:26:11Z,yii2
14073,closed,Schema cache fixes,brandonkelly,"| Q             | A_x000D_
| ------------- | ---_x000D_
| Is bugfix?    | yes_x000D_
| New feature?  | no_x000D_
| Breaks BC?    | no_x000D_
| Tests pass?   | yes_x000D_
| Fixed issues  | #14072_x000D_
",2017-04-27 17:36:34+00:00,2018-02-11T13:48:59Z,2017-05-02T16:26:02Z,True,1,13,8,25,5,3,14,2017-05-02 16:26:03+00:00,18.0,202,True,False,False,False,False,False,63,1,19,707.0,527.0,180.0,2.0,8.0,1.0,1.0,2017-05-02T16:26:05Z,yii2
14074,closed,initdb fixture will not loaded,lynicidn,"https://github.com/yiisoft/yii2/tree/master/framework/test_x000D_
",2017-04-27 17:52:11+00:00,2017-04-27T20:10:01Z,2017-04-27T17:58:22Z,True,0,0,1,1,1,1,0,2017-04-27 17:58:22+00:00,30.0,66,False,False,False,False,False,False,1,0,0,2.0,1.0,1.0,1.0,1.0,,,,yii2
14075,closed,Fix validators documentation,Kolyunya,"Fixed validators documentation._x000D_
_x000D_
| Q             | A_x000D_
| ------------- | ---_x000D_
| Is bugfix?    | yes_x000D_
| New feature?  | no_x000D_
| Breaks BC?    | no_x000D_
| Tests pass?   | yes_x000D_
| Fixed issues  |",2017-04-27 18:52:23+00:00,2017-05-01T09:34:57Z,2017-04-27T18:53:51Z,True,2,0,1,4,1,2,2,2017-04-27 18:53:51+00:00,28.0,234,False,False,False,True,False,False,2,2,30,5.0,4.0,1.0,1.0,1.0,2.0,2.0,2017-04-27T18:54:05Z,yii2
14076,closed,"Fix phpdoc, \yii\db\ActiveRecord => \yii\db\ActiveRecordInterface ",lav45,"| Q             | A_x000D_
| ------------- | ---_x000D_
| Is bugfix?    | no_x000D_
| New feature?  | no_x000D_
| Breaks BC?    | no_x000D_
| Tests pass?   | no_x000D_
| Fixed issues  | _x000D_
",2017-04-27 22:55:08+00:00,2017-09-15T20:42:12Z,2017-04-30T19:14:58Z,True,1,0,1,2,2,2,1,2017-04-30 19:14:58+00:00,66.0,194,False,False,False,False,False,False,2,1,11,4.0,2.0,2.0,1.0,1.0,1.0,1.0,2017-04-30T19:15:02Z,yii2
14078,closed,Allow to use custom AR constructors,ElisDN,"| Q             | A_x000D_
| ------------- | ---_x000D_
| Is bugfix?    | no_x000D_
| New feature?  | yes_x000D_
| Breaks BC?    | potentially_x000D_
| Tests pass?   | yes_x000D_
| Fixed issues  | #5786, #8639, #13779, #5771_x000D_
_x000D_
The PR replaces all `new $modelClass` internal calls to `$modelClass::instantiate()`. It allows to use custom constructors in ActiveRecord-based classes:_x000D_
_x000D_
~~~php_x000D_
class User extends ActiveRecord_x000D_
{_x000D_
    public static function instantiate($row = [])_x000D_
    {_x000D_
        $record = (new \ReflectionClass(static::className()))->newInstanceWithoutConstructor();_x000D_
        $record->init();_x000D_
        return $record;_x000D_
    }_x000D_
    _x000D_
    public function __construct($name, $email)_x000D_
    {_x000D_
        $this->name = $name;_x000D_
        $this->email = $email;_x000D_
        $this->created_at = time();_x000D_
        parent::__construct();_x000D_
    }_x000D_
}_x000D_
~~~_x000D_
_x000D_
without internal issues with all types of relations._x000D_
_x000D_
Backwards compatibility_x000D_
------_x000D_
_x000D_
The `$row` argument can be an empty array in new cases. It may break existing code. For example, for [STI](https://github.com/samdark/yii2-cookbook/blob/master/book/ar-single-table-inheritance.md) you must add `empty($row)` checking before `switch` sentence:_x000D_
_x000D_
```php_x000D_
public static function instantiate($row = [])_x000D_
{_x000D_
    if (empty($row)) {_x000D_
        return new self();_x000D_
    }_x000D_
_x000D_
    switch ($row['type']) {_x000D_
        ..._x000D_
    }_x000D_
}_x000D_
```_x000D_
or use safe `ArrayHelper::getValue($row, 'type')` instead of unsafe `$row['data']` calling.",2017-04-28 06:17:07+00:00,2017-07-16T15:47:05Z,,False,22,20,1,269,15,14,42,2017-07-15 20:02:39+00:00,35.0,1729,True,False,False,False,False,False,10,22,12893,284.0,269.0,15.0,1.0,1.0,7.0,22.0,2017-04-28T08:32:20Z,yii2
14080,closed,14035 batchinsert support ignore,qihuajun,"| Q             | A_x000D_
| ------------- | ---_x000D_
| Is bugfix?    | no_x000D_
| New feature?  | yes_x000D_
| Breaks BC?    | no_x000D_
| Tests pass?   | yes_x000D_
| Fixed issues  | #14035 _x000D_
",2017-04-28 09:26:04+00:00,2019-04-23T21:15:57Z,,False,4,9,5,335,24,9,10,2019-04-23 21:15:56+00:00,32.0,203,True,False,False,False,False,False,125,4,716,1896.0,1531.0,365.0,1.0,5.0,4.0,4.0,2017-05-03T06:40:18Z,yii2
14081,closed,Extracted CacheInterface from `yii\caching\Cache`,SilverFire,"| Q             | A_x000D_
| ------------- | ---_x000D_
| Is bugfix?    | no_x000D_
| New feature?  | yes_x000D_
| Breaks BC?    | no_x000D_
| Tests pass?   | let's see :)_x000D_
| Fixed issues  | Haven't found",2017-04-28 17:52:06+00:00,2017-06-11T16:19:25Z,,False,1,12,3,249,61,22,13,2017-06-11 16:19:06+00:00,49.0,210,True,False,False,False,False,False,23,1,27,388.0,288.0,100.0,1.0,3.0,1.0,1.0,2017-06-11T16:19:25Z,yii2
14085,closed, Refactored yii\base\Module. Added tests,vladis84,"| Q             | A_x000D_
| ------------- | ---_x000D_
| Is bugfix?    | no_x000D_
| New feature?  | yes_x000D_
| Breaks BC?    | yes/no_x000D_
| Tests pass?   | yes_x000D_
",2017-04-29 03:48:16+00:00,2018-02-03T15:12:17Z,,False,3,15,8,192,34,7,19,2018-02-03 15:11:55+00:00,40.0,174,True,False,False,False,False,False,359,3,160,4297.0,3303.0,994.0,2.0,8.0,2.0,3.0,2017-05-01T11:09:08Z,yii2
14087,closed,add method registerCsrfMetaTags,RobinKamps,"| Q             | A_x000D_
| ------------- | ---_x000D_
| Is bugfix?    | no_x000D_
| New feature?  | yes_x000D_
| Breaks BC?    | no_x000D_
| Tests pass?   | yes_x000D_
| Fixed issues  | comma-separated list of tickets # fixed by the PR, if any_x000D_
_x000D_
Short version:_x000D_
There is no convenient way to register csrf tags dynamically (with cache enabled)._x000D_
`$view->registerCsrfMetaTags();` will register csrf meta tags._x000D_
`$view->registerCsrfMetaTags(true);` will register csrf meta tags rendered dynamically._x000D_
_x000D_
Long version:_x000D_
_x000D_
To enable csrf in layout/view `echo Html::csrfMetaTags();` could be used._x000D_
However `$this->renderDynamic('echo yii\helpers\Html::csrfMetaTags();');` does not work properly if used in head section of layout._x000D_
It is placed before all page content - this could be a bug or wanted behavior? Anyway its causing some widgets to crash (like kartik switch input for example)._x000D_
_x000D_
`$this->renderDynamic('return Yii::$app->view->registerMetaTag([\'name\' => \'csrf-token\', \'content\' => Yii::$app->request->csrfToken]);');` does not work obviously, too._x000D_
_x000D_
Using something like `registerMetaTag(['name' => 'csrf-token', 'content' => $this->renderDynamic('return Yii::$app->request->csrfToken;')]);` _x000D_
does not work, because renderTagAttributes are html encoded (thus < and > in BLOB are converted to `&lt;![CDATA[YII-DYNAMIC-0]]&gt;`  (should be &lt;![CDATA[YII-DYNAMIC-0]]&gt;))_x000D_
_x000D_
Of course one can always add _x000D_
_x000D_
```php_x000D_
echo '<meta name=""csrf-param"" content=""' . $this->renderDynamic('return Yii::$app->request->csrfParam;') . '"">';_x000D_
echo '<meta name=""csrf-token"" content=""' . $this->renderDynamic('return Yii::$app->request->csrfToken;') . '"">';_x000D_
```_x000D_
_x000D_
to the head section of layout._x000D_
_x000D_
However a better way instead of putting this direct to layouts would be to use `registerMetaTags` in controller, so that the existence can be action specific. But dynamicRender fails on `registerMetaTag(['name' => 'csrf-token', 'content' => $this->renderDynamic('return Yii::$app->request->csrfToken;')]);` as mentioned above due to encoding._x000D_
_x000D_
With this little enhancement `$view->registerCsrfMetaTags();` could be used from controller or layout and if called with param `$view->registerCsrfMetaTags(true);` it will be automatic handled by dynamicRender._x000D_
",2017-04-29 09:23:56+00:00,2017-09-29T14:17:47Z,2017-09-29T14:13:05Z,True,6,0,8,72,1,3,7,2017-09-29 14:13:05+00:00,31.0,2443,True,False,False,False,False,False,330,6,1803,37260.0,29507.0,7753.0,2.0,8.0,4.0,6.0,2017-05-09T07:49:21Z,yii2
14088,closed,Update Pjax.php,rymkapro,"When you reload part of a page, which contains pjax element, then links don't send pjax requests. After this change pjax links always work",2017-04-29 15:55:57+00:00,2017-05-13T21:40:29Z,,False,6,0,1,1,1,1,6,2017-05-13 19:12:30+00:00,15.0,138,False,False,False,False,False,False,1,6,904,2.0,1.0,1.0,1.0,1.0,3.0,6.0,2017-05-01T09:06:20Z,yii2
14089,closed,Refactored `yii\base\Theme`. Added tests,vladis84,"| Q             | A_x000D_
| ------------- | ---_x000D_
| Is bugfix?    | yes_x000D_
| New feature?  | no_x000D_
| Breaks BC?    | no_x000D_
| Tests pass?   | yes_x000D_
_x000D_
| Fixed issues  | comma-separated list of tickets # fixed by the PR, if any_x000D_
",2017-04-30 10:23:07+00:00,2017-06-11T14:39:41Z,,False,1,6,4,161,6,6,8,2017-06-11 14:39:19+00:00,40.0,261,True,False,False,False,False,False,78,1,36,2329.0,1922.0,407.0,2.0,4.0,1.0,1.0,2017-06-11T14:39:35Z,yii2
1409,closed,Broken example of mail component usage,crtlib,,2013-12-03 11:52:36+00:00,2013-12-03T11:54:30Z,2013-12-03T11:54:23Z,True,1,0,1,3,3,1,1,2013-12-03 11:54:23+00:00,38.0,0,False,False,False,False,False,False,1,1,9,6.0,3.0,3.0,1.0,1.0,1.0,1.0,2013-12-03T11:54:30Z,yii2
14091,closed,Fix JS test after #14017,rob006,It looks like JS tests works on travis only by accident - composer does not remove old dependencies in `vendor/bower`. But test fails on clean install: https://travis-ci.org/rob006/yii2-dev/jobs/227400723,2017-05-01 09:35:10+00:00,2017-05-01T10:03:15Z,2017-05-01T09:58:02Z,True,4,0,1,32,41,6,4,2017-05-01 09:58:02+00:00,24.0,204,True,False,False,False,False,False,6,4,258,73.0,32.0,41.0,1.0,1.0,1.0,4.0,2017-05-01T09:44:34Z,yii2
14092,closed,Reduce `Segmentation fault` errors for PHP 5.4 tests on travis,rob006,"I think that we should not run this test on PHP 5.4, because it breaks almost every build - test for PHP 5.4 practically does not work._x000D_
_x000D_
Last 5 builds on master, all failed because of segmentation fault:_x000D_
https://travis-ci.org/yiisoft/yii2/jobs/226541976_x000D_
https://travis-ci.org/yiisoft/yii2/jobs/226548569_x000D_
https://travis-ci.org/yiisoft/yii2/jobs/226732220_x000D_
https://travis-ci.org/yiisoft/yii2/jobs/226964193_x000D_
https://travis-ci.org/yiisoft/yii2/jobs/227550868_x000D_
_x000D_
refs #13346",2017-05-01 10:12:16+00:00,2017-07-21T18:31:24Z,2017-07-21T18:29:41Z,True,3,0,1,2,6,1,3,2017-07-21 18:29:41+00:00,62.0,529,True,False,False,False,False,False,1,3,329,8.0,2.0,6.0,1.0,1.0,2.0,3.0,2017-05-02T22:24:08Z,yii2
14093,closed,Remove unused local var in JS test,rob006,cc @arogachev ,2017-05-01 10:23:54+00:00,2017-06-12T11:46:17Z,2017-06-11T16:20:32Z,True,1,0,1,0,1,1,1,2017-06-11 16:20:32+00:00,34.0,14,True,False,False,False,False,False,1,1,16,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2017-06-11T16:20:34Z,yii2
14096,closed,Remove unused imports from tests,rob006,"_x000D_
",2017-05-01 15:10:48+00:00,2017-05-01T18:31:01Z,2017-05-01T18:26:16Z,True,1,0,1,6,27,16,1,2017-05-01 18:26:16+00:00,32.0,8,True,False,False,False,False,False,16,1,11,33.0,6.0,27.0,1.0,1.0,1.0,1.0,2017-05-01T18:26:11Z,yii2
14098,closed,Make FileHelper::normalizeOptions() protected,brandonkelly,"We have a need to call `normalizeOptions()` in an extension of FileHelper in Craft (preceding some calls to `filterPath()`). Assume there’s no harm in making it protected, so we don’t have to copy the function over to our class, just to work around the private visibility._x000D_
_x000D_
| Q             | A_x000D_
| ------------- | ---_x000D_
| Is bugfix?    | no_x000D_
| New feature?  | no_x000D_
| Breaks BC?    | no_x000D_
| Tests pass?   | yes_x000D_
",2017-05-01 22:07:29+00:00,2018-02-11T13:48:59Z,2017-05-02T22:53:22Z,True,3,2,4,5,3,2,5,2017-05-02 22:53:22+00:00,45.0,457,False,False,False,False,False,False,4,3,242,8.0,5.0,3.0,1.0,4.0,2.0,3.0,2017-05-01T22:44:49Z,yii2
141,closed,Removed unnecessary else,sensorario,,2013-05-06 10:39:26+00:00,2014-07-30T05:16:52Z,,False,1,0,4,1,2,1,1,2013-05-06 11:36:00+00:00,24.0,0,True,False,False,False,False,False,126,1,28,1027.0,778.0,249.0,2.0,4.0,1.0,1.0,2013-05-06T11:36:00Z,yii2
14100,closed,Add php-cs-fixer coding standards validation to Travis CI,rob006,"Alternative PR to #13732 _x000D_
_x000D_
Right now it contains only some basic rules, but I will try to extend it in this week._x000D_
_x000D_
Refs: https://github.com/FriendsOfPHP/PHP-CS-Fixer",2017-05-01 23:05:16+00:00,2018-10-05T16:12:20Z,2017-06-12T09:25:46Z,True,13,19,93,5790,2890,504,32,2017-06-12 09:25:46+00:00,57.0,193,True,False,False,False,False,False,611,13,2844,5388.0,4103.0,1285.0,1.0,30.0,8.0,13.0,2017-05-03T07:00:56Z,yii2
14101,closed,Update AttributeBehavior.php,bscheshirwork,"Add `$values` feature_x000D_
_x000D_
Provide difference assigned values by attributes is user friendly._x000D_
Array of behaviors:_x000D_
```php_x000D_
            [_x000D_
                'class' => AttributeBehavior::className(),_x000D_
                'attributes' => [_x000D_
                    ActiveRecord::EVENT_BEFORE_INSERT => ['number', 'name'],_x000D_
                ],_x000D_
                'values' => [_x000D_
                    'number' => [$this, 'getNextNumber'],_x000D_
                    'name' => [$this, 'getNewName']_x000D_
                ]_x000D_
            ],_x000D_
```_x000D_
instead of _x000D_
```php_x000D_
            [_x000D_
                'class' => AttributeBehavior::className(),_x000D_
                'attributes' => [_x000D_
                    ActiveRecord::EVENT_BEFORE_INSERT => 'number',_x000D_
                ],_x000D_
                'value' => [$this, 'getNextNumber']_x000D_
            ],_x000D_
           [_x000D_
                'class' => AttributeBehavior::className(),_x000D_
                'attributes' => [_x000D_
                    ActiveRecord::EVENT_BEFORE_INSERT => 'name',_x000D_
                ],_x000D_
                'value' => [$this, 'getNewName']_x000D_
            ],_x000D_
```_x000D_
_x000D_
| Q             | A_x000D_
| ------------- | ---_x000D_
| Is bugfix?    | no_x000D_
| New feature?  | yes_x000D_
| Breaks BC?    | no_x000D_
| Tests pass?   | yes/no_x000D_
| Fixed issues  | comma-separated list of tickets # fixed by the PR, if any_x000D_
",2017-05-02 08:48:17+00:00,2017-07-14T07:40:46Z,,False,8,13,4,45,1,1,21,2017-07-13 18:23:03+00:00,28.0,1529,False,False,False,False,False,False,4,8,2415,50.0,47.0,3.0,2.0,4.0,4.0,8.0,2017-05-02T09:18:30Z,yii2
14104,closed,Enh #14094 UrlManager::createUrl() cache may degrade performance in s…,qihuajun,"…ome cases -- optimize createUrl method to cancel repeated call_x000D_
_x000D_
| Q             | A_x000D_
| ------------- | ---_x000D_
| Is bugfix?    | no_x000D_
| New feature?  | no_x000D_
| Breaks BC?    | no_x000D_
| Tests pass?   | yes_x000D_
| Fixed issues  | #14094 _x000D_
",2017-05-03 11:33:03+00:00,2017-05-07T08:54:37Z,,False,4,0,3,35,1,3,4,2017-05-04 21:34:02+00:00,70.0,281,True,False,False,False,False,False,4,4,416,38.0,36.0,2.0,1.0,3.0,2.0,4.0,2017-05-03T17:19:46Z,yii2
14105,closed,Implement retrieving DBMS constraints,sergeymakinen,"| Q             | A_x000D_
| ------------- | ---_x000D_
| Is bugfix?    | no_x000D_
| New feature?  | yes_x000D_
| Breaks BC?    | no_x000D_
| Tests pass?   | yes (thanks to [this](https://github.com/sergeymakinen/docker-yii2-php) and [this](https://github.com/sergeymakinen/docker-test-db))_x000D_
| Fixed issues  | partially #8163, also see #8152, #9003, #13647_x000D_
_x000D_
This small PR adds:_x000D_
_x000D_
- [x] DBMS constraints retrieving methods._x000D_
- [x] DBMS constraints low-level manipulation methods._x000D_
- [x] DMBS constraints `QueryBuilder` tests._x000D_
- [x] DMBS constraints `Command` tests._x000D_
_x000D_
Please note: _x000D_
_x000D_
- This PR is **not** a complete solution for a constraints management. It's a first part that adds all that low-level stuff. I will implement other parts during a 2.0.13 development timeframe._x000D_
- Some existing code is outdated or not needed anymore (or both O:). But it requires a discussion and deserves a separate issue._x000D_
- The SQL tokenizer is aimed mostly at db developers (= (99% of time) no one beside Yii db core developers/contributors). It's not an all-purpose solution. It helps to get a required information from the SQL code without getting trapped by regex limitations._x000D_
- MySQL's constraint code works with 5.1+. If this is still an issue (tests only pass on 5.0+), I will make it BC with 4.x+/5.0+ (with a help of `SqlTokenizer`)._x000D_
- `Schema` caching was updated, now it's trivial to add any new information along with the existing without having to think about caching. Tests were intentionally left untouched to catch regressions (if any).",2017-05-03 15:05:06+00:00,2017-07-08T00:36:23Z,2017-07-07T21:00:38Z,True,24,80,25,5805,440,51,54,2017-07-07 21:00:38+00:00,37.0,1642,True,False,False,False,False,False,433,24,3390,19808.0,15926.0,3882.0,3.0,25.0,4.0,24.0,2017-05-03T16:39:56Z,yii2
14107,closed,WIP: Yii2 implements PSR-11,SamMousa,"| Q             | A_x000D_
| ------------- | ---_x000D_
| Is bugfix?    | no_x000D_
| New feature?  | yes_x000D_
| Breaks BC?    | no_x000D_
| Tests pass?   | yes_x000D_
_x000D_
PSR-11 is accepted and Yii implements it._x000D_
",2017-05-03 15:25:52+00:00,2017-09-08T15:22:43Z,,False,30,9,6,341,209,5,39,2017-09-07 18:50:48+00:00,27.0,227,True,False,False,False,False,False,291,30,10559,16690.0,12338.0,4352.0,2.0,6.0,6.0,30.0,2017-05-04T06:23:07Z,yii2
14109,closed,Update db-migrations.md,kradwhite,"By default, the class BaseMigrateController property migrationPath is assigned the value '@app/migrations'. In the method getNewMigrations() is the conversion migrationNamescpaces in the path to the file and merges it all into a single array along with the path migrationPath. If the project for migration module is a separate table in the database, all migration came from migrationPath are not initialized and therefore try to migrate. Therefore, it is necessary to specify the property 'migrationPath' => null._x000D_
_x000D_
| Q             | A_x000D_
| ------------- | ---_x000D_
| Is bugfix?    | yes/no_x000D_
| New feature?  | yes/no_x000D_
| Breaks BC?    | yes/no_x000D_
| Tests pass?   | yes/no_x000D_
| Fixed issues  | comma-separated list of tickets # fixed by the PR, if any_x000D_
",2017-05-03 17:14:52+00:00,2017-05-04T14:03:20Z,2017-05-04T14:03:16Z,True,2,0,1,3,0,1,2,2017-05-04 14:03:16+00:00,23.0,796,False,False,False,False,False,False,1,2,105,3.0,3.0,0.0,1.0,1.0,2.0,2.0,2017-05-03T19:04:10Z,yii2
14113,closed,Update db-migrations.md,kradwhite,"I made a typo. Sorry. The command migration-rbac, migrationPath property already exists._x000D_
_x000D_
| Q             | A_x000D_
| ------------- | ---_x000D_
| Is bugfix?    | yes/no_x000D_
| New feature?  | yes/no_x000D_
| Breaks BC?    | yes/no_x000D_
| Tests pass?   | yes/no_x000D_
| Fixed issues  | comma-separated list of tickets # fixed by the PR, if any_x000D_
",2017-05-04 14:49:38+00:00,2017-05-04T19:23:48Z,2017-05-04T19:23:40Z,True,1,0,1,0,1,1,1,2017-05-04 19:23:40+00:00,23.0,371,False,False,False,False,False,False,1,1,16,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2017-05-04T19:23:42Z,yii2
14114,closed,Eng #14103: Rbac Manager's `getUserIdsByRole()` can return all userid…,qihuajun,"| Q             | A_x000D_
| ------------- | ---_x000D_
| Is bugfix?    | no_x000D_
| New feature?  | no_x000D_
| Breaks BC?    | no_x000D_
| Tests pass?   | yes_x000D_
| Fixed issues  | #14103_x000D_
",2017-05-05 10:36:59+00:00,2019-04-18T23:17:38Z,,False,2,5,3,109,7,5,7,2019-04-18 23:17:38+00:00,70.0,201,True,False,False,False,False,False,54,2,213,2639.0,2361.0,278.0,3.0,3.0,2.0,2.0,2017-05-17T13:02:49Z,yii2
14117,closed,Typo,tarasio,"| Q             | A_x000D_
| ------------- | ---_x000D_
| Is bugfix?    | no_x000D_
| New feature?  | no_x000D_
| Breaks BC?    | no_x000D_
| Tests pass?   | yes_x000D_
| Fixed issues  | _x000D_
",2017-05-05 13:55:19+00:00,2017-05-05T14:06:58Z,2017-05-05T14:06:46Z,True,1,0,1,4,4,2,1,2017-05-05 14:06:46+00:00,4.0,195,False,False,False,False,False,False,2,1,16,8.0,4.0,4.0,1.0,1.0,1.0,1.0,2017-05-05T14:06:50Z,yii2
14119,closed,fix code style,unasoft,"| Q             | A_x000D_
| ------------- | ---_x000D_
| Is bugfix?    | no_x000D_
| New feature?  | no_x000D_
| Breaks BC?    | no_x000D_
| Tests pass?   | yes_x000D_
| Fixed issues  | #14119_x000D_
",2017-05-07 10:47:18+00:00,2017-05-07T21:51:32Z,,False,6,0,1,28,28,5,6,2017-05-07 20:07:28+00:00,14.0,201,False,False,False,False,False,False,5,6,794,56.0,28.0,28.0,1.0,1.0,4.0,6.0,2017-05-07T11:50:12Z,yii2
14120,closed,Add Indonesian guide translation,novrian,"| Q             | A_x000D_
| ------------- | ---_x000D_
| Is bugfix?    | no_x000D_
| New feature?  | no_x000D_
| Breaks BC?    | no_x000D_
| Tests pass?   | no_x000D_
_x000D_
- Fixing URL & updated README.md in indonesian guide translation._x000D_
- Translate ""Working with Forms"" guide.",2017-05-07 16:29:33+00:00,2017-05-08T01:20:36Z,2017-05-07T19:12:39Z,True,3,0,2,358,111,2,3,2017-05-07 19:12:39+00:00,32.0,288,False,False,False,False,False,False,1,3,43,469.0,358.0,111.0,1.0,2.0,2.0,3.0,2017-05-07T16:32:38Z,yii2
14121,closed,Added support for cloning a db connection,cebe,"improved fix #14020_x000D_
fixes #13890_x000D_
_x000D_
https://github.com/yiisoft/yii2/pull/14020/files#r115185865_x000D_
_x000D_
| Q             | A_x000D_
| ------------- | ---_x000D_
| Is bugfix?    | yes_x000D_
| New feature?  | no_x000D_
| Breaks BC?    | no_x000D_
| Tests pass?   | yes_x000D_
| Fixed issues  | #14020 #13890_x000D_
",2017-05-08 08:33:45+00:00,2017-05-10T07:50:03Z,2017-05-10T07:47:47Z,True,1,1,1,67,17,5,2,2017-05-10 07:47:47+00:00,41.0,339,True,False,False,False,False,False,5,1,74,84.0,67.0,17.0,1.0,1.0,1.0,1.0,2017-05-08T09:01:34Z,yii2
14123,closed,Alternative implementation for passing parameters to AccessRule roles,cebe,"This is an alternative to #8426:_x000D_
_x000D_
- more flexibility by allowing Closure, thanks @Faryshta for the idea_x000D_
- no special syntax needed to use it_x000D_
- added tests_x000D_
_x000D_
_x000D_
| Q             | A_x000D_
| ------------- | ---_x000D_
| Is bugfix?    | no_x000D_
| New feature?  | yes_x000D_
| Breaks BC?    | no_x000D_
| Tests pass?   | yes_x000D_
| Fixed issues  | #8426 #7643 #4302_x000D_
",2017-05-08 10:58:05+00:00,2017-05-31T15:48:30Z,2017-05-31T15:48:03Z,True,7,9,4,122,13,4,19,2017-05-31 15:48:03+00:00,69.0,419,True,False,False,False,False,False,7,7,2771,215.0,162.0,53.0,2.0,4.0,3.0,7.0,2017-05-08T15:12:54Z,yii2
14130,closed,Fixed ambiguous column name in SELECT in UniqueValidator,cebe,"fixes #14042 as an addition to #14049_x000D_
_x000D_
| Q             | A_x000D_
| ------------- | ---_x000D_
| Is bugfix?    | yes_x000D_
| New feature?  | no_x000D_
| Breaks BC?    | no_x000D_
| Tests pass?   | yes_x000D_
| Fixed issues  |  #14042_x000D_
",2017-05-10 08:32:04+00:00,2017-05-10T09:14:58Z,,False,1,0,1,27,1,3,1,2017-05-10 09:03:27+00:00,56.0,256,True,False,False,False,False,False,3,1,19,28.0,27.0,1.0,1.0,1.0,1.0,1.0,2017-05-10T09:03:25Z,yii2
14139,closed,Prevent multiple validateAttribute() calls when scenarios() returns duplicate attributes,krukru,"| Q             | A_x000D_
| ------------- | ---_x000D_
| Is bugfix?    | yes_x000D_
| New feature?  | no_x000D_
| Breaks BC?    | probably no_x000D_
| Tests pass?   | locally yes, travis fails on PHP7 and and PHP5.5 (probably a fluke)_x000D_
| Fixed issues  | #14134_x000D_
",2017-05-10 19:46:06+00:00,2017-10-07T17:47:10Z,2017-10-07T17:40:07Z,True,3,11,7,14,1,4,13,2017-10-07 17:40:07+00:00,88.0,275,True,False,False,False,False,False,274,3,477,34015.0,26878.0,7137.0,2.0,7.0,2.0,3.0,2017-05-11T09:05:25Z,yii2
14141,closed,Fixed yii.activeForm.js,depesr,"In function validate, when force validation is set to true, it actually set's data.submitting to true._x000D_
Few rows later, variable submitting was set to data.submitting && !forceValidate, which will always be false in case forceValidation is true._x000D_
_x000D_
| Q             | A_x000D_
| ------------- | ---_x000D_
| Is bugfix?    | yes_x000D_
| New feature?  | no_x000D_
| Breaks BC?    | no_x000D_
| Tests pass?   | yes/no_x000D_
| Fixed issues  | #13940_x000D_
",2017-05-11 05:48:53+00:00,2017-09-12T20:42:44Z,,False,1,0,1,1,1,1,1,2017-09-12 20:42:30+00:00,23.0,472,False,False,False,False,False,False,1,1,20,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2017-09-12T20:42:30Z,yii2
14143,closed,fix broken link,pandalowry,"File output-client-scripts.md not created. And in site - error 404: http://stuff.cebe.cc/yii2docs-ru/guide-output-client-scripts.html_x000D_
_x000D_
| Q             | A_x000D_
| ------------- | ---_x000D_
| Is bugfix?    | yes/no_x000D_
| New feature?  | yes/no_x000D_
| Breaks BC?    | yes/no_x000D_
| Tests pass?   | yes/no_x000D_
| Fixed issues  | comma-separated list of tickets # fixed by the PR, if any_x000D_
",2017-05-11 10:06:32+00:00,2017-05-11T10:12:13Z,2017-05-11T10:09:17Z,True,1,0,1,1,1,1,1,2017-05-11 10:09:17+00:00,15.0,416,False,False,False,False,False,False,1,1,16,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2017-05-11T10:09:25Z,yii2
14144,closed,"""из вне"" => ""извне""",pandalowry,"grammar nazi attack_x000D_
_x000D_
| Q             | A_x000D_
| ------------- | ---_x000D_
| Is bugfix?    | yes/no_x000D_
| New feature?  | yes/no_x000D_
| Breaks BC?    | yes/no_x000D_
| Tests pass?   | yes/no_x000D_
| Fixed issues  | comma-separated list of tickets # fixed by the PR, if any_x000D_
",2017-05-11 10:57:21+00:00,2017-05-11T17:54:06Z,2017-05-11T11:32:55Z,True,4,0,1,1,1,1,4,2017-05-11 11:32:55+00:00,19.0,302,False,False,False,False,False,False,1,4,310,2.0,1.0,1.0,1.0,1.0,2.0,4.0,2017-05-11T10:59:29Z,yii2
